Keys,US English,Canada English,AU English,UK English,Canada French,Spain Spanish,US Spanish,Latin America Spanish,Argentina Spanish,Colombia Spanish,Mexico Spanish,German,Japanese,Korean,France French,Brazil Portuguese,Netherlands Dutch,Italy Italian
country_key,US     ,AU     ,CA     ,GB     ,CA     ,ES     ,US     ,419     ,AR     ,CO     ,MX     ,DE     ,JP     ,KR     ,FR,BR     ,NL     ,IT     
language_key,en     ,en     ,en     ,en     ,fr     ,es     ,es     ,es     ,es     ,es     ,es     ,de     ,ja     ,ko     ,fr,pt     ,nl     ,it     
app_name,ARC 2.0,ARC 2.0,ARC 2.0,ARC 2.0,ARC 2.0,ARC 2.0,ARC 2.0,ARC 2.0,ARC 2.0,ARC 2.0,ARC 2.0,ARC 2.0,ARC 2.0,ARC 2.0,ARC 2.0,ARC 2.0,ARC 2.0,ARC 2.0
key_native_language,US - English,Australia - English,Canada - English,UK - English,Canada - Français,España - Español,US - Español,America Latina - Español,Argentina - Español,Colombia - Español,Mexico - Español,Deutschland - Deutsche,日本 - 日本語,"대한민국-한국어
",France - Français,Brasil - Português,NL - Nederlands,Italia- Italiano
notification_monthbefore,Your next week of testing begins in one month on {DATE}. You may adjust this schedule up to 7 days.,Your next week of testing begins in one month on {DATE}. You may adjust this schedule up to 7 days.,Your next week of testing begins in one month on {DATE}. You may adjust this schedule up to 7 days.,Your next week of testing begins in one month on {DATE}. You may adjust this schedule up to 7 days.,"Votre prochaine semaine de tests commence dans un mois, le {DATE}. Vous pouvez modifier cet horaire d’au plus 7 jours.","Su próxima semana de pruebas comienza dentro de un mes, el {DATE}. Puede ajustar esta fecha hasta un máximo de 7 días.","Su próxima semana de pruebas comienza en un mes, el {DATE}. Puede ajustar este horario hasta por 7 días.","Su próxima semana de pruebas comienza en un mes, el {DATE}. Puede ajustar este horario hasta por 7 días.","Su próxima semana de pruebas comienza en un mes, el {DATE}. Puede ajustar este horario hasta por 7 días.","Su próxima semana de pruebas comienza en un mes, el {DATE}. Puede ajustar este horario hasta por 7 días.","Su próxima semana de pruebas comienza en un mes, el {DATE}. Puede ajustar este horario hasta por 7 días.","Ihre nächste Woche mit Tests beginnt in einem Monat, und zwar am {DATE}. Sie können diesen Zeitplan um bis zu 7 Tage verschieben.",次のテストの週は1ヵ月以内の{DATE}に始まります。このスケジュールを7日以内に調整することができます。,귀하의 다음 검사 주간이 한 달 후 {DATE}에 시작됩니다. 최대 7일까지 이 일정을 조정할 수 있습니다.,Votre prochaine semaine de test commence dans un mois le {DATE}. Vous pouvez ajuster ce calendrier jusqu’à 7 jours. ,Sua próxima semana de testes começa em um mês em {DATE}. Você pode ajustar este cronograma em até 7 dias.,Uw volgende testweek begint over een maand op {DATE}. U mag dit schema tot maximaal 7 dagen aanpassen.,La Sua prossima settimana di test inizia tra un mese il {DATE}. Può modificare questo programma fino a 7 giorni.
notification_weekbefore,Reminder: Your next testing cycle starts in one week. Tap to confirm or reschedule.,Reminder: Your next testing cycle starts in one week. Tap to confirm or reschedule.,Reminder: Your next testing cycle starts in one week. Tap to confirm or reschedule.,Reminder: Your next testing cycle starts in one week. Tap to confirm or reschedule.,Rappel : votre prochain cycle de tests commence dans une semaine. Appuyez pour confirmer ou modifier l’horaire.,Recordatorio: Su próximo ciclo de pruebas comienza dentro de una semana. Toque para confirmarlo o modique la fecha.,Recordatorio: Su siguiente ciclo de pruebas comienza en una semana. Toque para confirmar o reprogramar.,Recordatorio: Su siguiente ciclo de pruebas comienza en una semana. Toque para confirmar o reprogramar.,Recordatorio: Su siguiente ciclo de pruebas comienza en una semana. Toque para confirmar o reprogramar.,Recordatorio: Su siguiente ciclo de pruebas comienza en una semana. Toque para confirmar o reprogramar.,Recordatorio: Su siguiente ciclo de pruebas comienza en una semana. Toque para confirmar o reprogramar.,"Zur Erinnerung: Ihr nächster Testzyklus beginnt in einer Woche. Tippen Sie hier, um dies zu bestätigen oder einen anderen Zeitraum festzulegen.",注意：あなたの次のテストサイクルは1週間以内に始まります。タップして確認するか、スケジュールを調整してください。,알림: 귀하의 다음 검사 주기가 일주일 후 시작됩니다. 확정하거나 일정을 변경하려면 누르세요.,Rappel : Votre prochain cycle de test commence dans une semaine. Appuyez pour confirmer ou reprogrammer.,Lembrete: Seu próximo ciclo de testes começa em uma semana. Toque para confirmar ou reagendar.,Herinnering: Uw volgende testcyclus begint over een week. Tik om te bevestigen of om een nieuwe afspraak te plannen.,Promemoria: Il Suo prossimo ciclo di test inizia tra una settimana. Toccare per confermare o programmare nuovamente.
notification_daybefore,Reminder: Your next testing cycle begins tomorrow. Tap to confirm or reschedule.,Reminder: Your next testing cycle begins tomorrow. Tap to confirm or reschedule.,Reminder: Your next testing cycle begins tomorrow. Tap to confirm or reschedule.,Reminder: Your next testing cycle begins tomorrow. Tap to confirm or reschedule.,Rappel : votre prochain cycle de tests commence demain. Appuyez pour confirmer ou modifier l’horaire.,Recordatorio: Su próximo ciclo de pruebas comienza mañana. Toque para confirmarlo o modique la fecha.,Recordatorio: Su siguiente ciclo de pruebas comienza mañana. Toque para confirmar o reprogramar.,Recordatorio: Su siguiente ciclo de pruebas comienza mañana. Toque para confirmar o reprogramar.,Recordatorio: Su siguiente ciclo de pruebas comienza mañana. Toque para confirmar o reprogramar.,Recordatorio: Su siguiente ciclo de pruebas comienza mañana. Toque para confirmar o reprogramar.,Recordatorio: Su siguiente ciclo de pruebas comienza mañana. Toque para confirmar o reprogramar.,"Zur Erinnerung: Ihr nächster Testzyklus beginnt morgen. Tippen Sie hier, um dies zu bestätigen oder einen anderen Zeitraum festzulegen.",注意：あなたの次のテストサイクルは明日始まります。タップして確認するか、スケジュールを調整してください。,알림: 귀하의 다음 검사 주기가 내일 시작됩니다. 확정하거나 일정을 변경하려면 누르세요.,Rappel : Votre prochain cycle de test commence demain. Appuyez pour confirmer ou reprogrammer.,Lembrete: Seu próximo ciclo de testes começa amanhã. Toque para confirmar ou reagendar.,Herinnering: Uw volgende testcyclus begint morgen. Tik om te bevestigen of om een nieuwe afspraak te plannen.,Promemoria: Il Suo prossimo ciclo inizia domani. Toccare per confermare o programmare nuovamente.
notification1_firstday,It's time for the first test of the week! Start your streak by completing this test by {TIME}.,It's time for the first test of the week! Start your streak by completing this test by {TIME}.,It's time for the first test of the week! Start your streak by completing this test by {TIME}.,It's time for the first test of the week! Start your streak by completing this test by {TIME}.,C'est le temps du premier test de la semaine! Partez sur une lancée en effectuant le test d'ici {TIME}.,¡Es hora de realizar la primera prueba de la semana! Comience la serie completando esta prueba antes de la(s) {TIME}.,"Ha llegado la hora de hacer la primera prueba de la semana. Para empezar la tanda, complete esta prueba antes de la/s {TIME}.","Ha llegado la hora de hacer la primera prueba de la semana. Para empezar la tanda, complete esta prueba antes de la/s {TIME}.","Ha llegado la hora de hacer la primera prueba de la semana. Para empezar la tanda, complete esta prueba antes de la/s {TIME}.","Ha llegado la hora de hacer la primera prueba de la semana. Para empezar la tanda, complete esta prueba antes de la/s {TIME}.","Ha llegado la hora de hacer la primera prueba de la semana. Para empezar la tanda, complete esta prueba antes de la/s {TIME}.","Es ist Zeit für den ersten Test der Woche! Beginnen Sie Ihre Serie, indem Sie diesen Test bis {TIME} abschließen.",今週最初のテストの時間になりました。{TIME}までにこのテストを完了して、この先も時間内のテスト完了を引き続き目指しましょう。,이번 주간의 첫 번째 검사 시간입니다! {TIME}까지 이 검사를 완료하여 주간을 시작하세요.,Le moment est arrivé pour le premier test de la semaine ! Commencez votre lancée en complétant ce test avant {TIME}.,É hora do primeiro teste da semana! Comece sua sequência concluindo este teste às {TIME}.,Het is tijd voor de eerste test van de week! Start uw streak door deze test vóór {TIME} te voltooien.,È il momento del primo test della settimana! Inizi la Sua serie completando questo test entro {TIME}.
notification1_default,It's time for the first test of the day! This test will be available until {TIME}.,It's time for the first test of the day! This test will be available until {TIME}.,It's time for the first test of the day! This test will be available until {TIME}.,It's time for the first test of the day! This test will be available until {TIME}.,C'est le temps du premier test de la journée! Ce test sera disponible jusqu'à {TIME}.,¡Es hora de realizar la primera prueba del día! Esta prueba estará disponible hasta la(s) {TIME}.,Ha llegado la hora de hacer la primera prueba de hoy. Esta prueba estará disponible hasta la/s {TIME}.,Ha llegado la hora de hacer la primera prueba de hoy. Esta prueba estará disponible hasta la/s {TIME}.,Ha llegado la hora de hacer la primera prueba de hoy. Esta prueba estará disponible hasta la/s {TIME}.,Ha llegado la hora de hacer la primera prueba de hoy. Esta prueba estará disponible hasta la/s {TIME}.,Ha llegado la hora de hacer la primera prueba de hoy. Esta prueba estará disponible hasta la/s {TIME}.,Es ist Zeit für den ersten Test des Tages! Dieser Test ist bis {TIME} verfügbar.,今日最初のテストの時間になりました。このテストは{TIME}まで使用可能です。,오늘의 첫 번째 검사 시간입니다! 이 검사는 {TIME}까지 이용할 수 있습니다.,Le moment est arrivé pour le premier test de la journée ! Ce test sera disponible jusqu’à {TIME}.,É hora do primeiro teste do dia! Este teste estará disponível até {TIME}.,Het is tijd voor de eerste test van de dag! Deze test zal beschikbaar zijn tot {TIME}.,È il momento del primo test della giornata! Questo test sarà disponibile fino alle {TIME}.
notification1_halfway,You're halfway through the week. Keep it up! Today's first test will be available until {TIME}.,You're halfway through the week. Keep it up! Today's first test will be available until {TIME}.,You're halfway through the week. Keep it up! Today's first test will be available until {TIME}.,You're halfway through the week. Keep it up! Today's first test will be available until {TIME}.,Vous êtes à la moitié de la semaine. Continuez comme ça! Le premier test de la journée sera disponible jusqu'à {TIME}.,Ya ha pasado media semana. ¡Siga así! La prueba de hoy estará disponible hasta la(s) {TIME}.,Ya va por la mitad de la semana. ¡Siga así! La primera prueba de hoy estará disponible hasta la/s {TIME}.,Ya va por la mitad de la semana. ¡Siga así! La primera prueba de hoy estará disponible hasta la/s {TIME}.,Ya va por la mitad de la semana. ¡Siga así! La primera prueba de hoy estará disponible hasta la/s {TIME}.,Ya va por la mitad de la semana. ¡Siga así! La primera prueba de hoy estará disponible hasta la/s {TIME}.,Ya va por la mitad de la semana. ¡Siga así! La primera prueba de hoy estará disponible hasta la/s {TIME}.,Sie haben die Hälfte der Woche hinter sich. Weiter so! Heute wird der erste Test des Tages bis {TIME} verfügbar sein.,1週間の半分を終えました。引き続き頑張ってください。今日最初のテストは{TIME}まで使用可能です。,이번 주간의 절반이 지났습니다. 계속하세요! 오늘의 첫 번째 검사는 {TIME}까지 이용할 수 있습니다.,La semaine est à moitié terminée. Continuez ! Le premier test d’aujourd'hui sera disponible jusqu’à {TIME}.,Você está no meio da semana. Mantenha-se firme! O primeiro teste de hoje estará disponível até {TIME}.,U bent halverwege de week. Ga zo door! De eerste test van vandaag zal beschikbaar zijn tot {TIME}.,É a metà della settimana. Continui così! Il primo test di oggi sarà disponibile fino alle {TIME}.
notification1_lastday,You're on the last day of testing this week! Your first test of the day will be available until {TIME}.,You're on the last day of testing this week! Your first test of the day will be available until {TIME}.,You're on the last day of testing this week! Your first test of the day will be available until {TIME}.,You're on the last day of testing this week! Your first test of the day will be available until {TIME}.,Vous êtes à la dernière journée de tests cette semaine! Votre premier premier test de la journée sera disponible jusqu'à {TIME}.,¡Hoy es el último día de pruebas de esta semana! La primera prueba del día estará disponible hasta la(s) {TIME}.,¡Ya llegó al último día de pruebas de esta semana! Su primera prueba del día estará disponible hasta la/s {TIME}.,¡Ya llegó al último día de pruebas de esta semana! Su primera prueba del día estará disponible hasta la/s {TIME}.,¡Ya llegó al último día de pruebas de esta semana! Su primera prueba del día estará disponible hasta la/s {TIME}.,¡Ya llegó al último día de pruebas de esta semana! Su primera prueba del día estará disponible hasta la/s {TIME}.,¡Ya llegó al último día de pruebas de esta semana! Su primera prueba del día estará disponible hasta la/s {TIME}.,Dies ist Ihr letzter Testtag dieser Woche! Ihr erster Test des Tages wird bis zum {TIME} verfügbar sein.,今週のテストの最終日になりました。今日最初のテストは{TIME}まで使用可能です。,이번 주간의 마지막 검사일입니다! 오늘 귀하의 첫 번째 검사는 {TIME}까지 이용할 수 있습니다.,C’est votre dernier jour de test pour cette semaine ! Votre premier test de la journée sera disponible jusqu’à {TIME}.,Você está no último dia de testes desta semana! Seu primeiro teste do dia estará disponível até {TIME}.,U bent op de laatste testdag van deze week! Uw eerste test van de dag zal beschikbaar zijn tot {TIME}.,É all’ultimo giorno di test questa settimana! Il Suo primo test della giornata sarà disponibile fino alle {TIME}.
notifications2_default,It's time for today's second test! This test will be available until {TIME}.,It's time for today's second test! This test will be available until {TIME}.,It's time for today's second test! This test will be available until {TIME}.,It's time for today's second test! This test will be available until {TIME}.,C'est le temps du deuxième test de la journée! Ce test sera disponible jusqu'à {TIME}.,¡Es hora de realizar la segunda prueba de hoy! Esta prueba estará disponible hasta la(s) {TIME}.,Ha llegado la hora de hacer la segunda prueba de hoy. Esta prueba estará disponible hasta la/s {TIME}.,Ha llegado la hora de hacer la segunda prueba de hoy. Esta prueba estará disponible hasta la/s {TIME}.,Ha llegado la hora de hacer la segunda prueba de hoy. Esta prueba estará disponible hasta la/s {TIME}.,Ha llegado la hora de hacer la segunda prueba de hoy. Esta prueba estará disponible hasta la/s {TIME}.,Ha llegado la hora de hacer la segunda prueba de hoy. Esta prueba estará disponible hasta la/s {TIME}.,Es ist Zeit für den zweiten Test des heutigen Tages! Dieser Test wird bis {TIME} verfügbar sein.,今日2つ目のテストの時間になりました。このテストは{TIME}まで使用可能です。,오늘의 두 번째 검사 시간입니다! 이 검사는 {TIME}까지 이용할 수 있습니다.,Le moment est arrivé pour le deuxième test de la journée ! Ce test sera disponible jusqu’à {TIME}.,É hora do segundo teste de hoje! Este teste estará disponível até {TIME}.,Het is tijd voor de tweede test van vandaag! Deze test zal beschikbaar zijn tot {TIME}.,È il momento del secondo test della giornata! Questo test sarà disponibile fino alle {TIME}.
